userid,activity_count,login_count,resources_viewed,days_inactive,average_grade,assignments_submitted,forum_posts,completion_rate,quiz_attempts_count
2,2265,27.0,91.0,1486,0.0,0,0,0.0,0
4,6,1.0,4.0,1722,0.0,0,0,0.0,0
20,92,7.0,84.0,1522,0.0,0,0,0.0,0
23,10,0.0,7.0,999,0.0,0,0,0.0,0
27,42,3.0,34.0,1742,0.0,0,0,0.0,0
31,61,6.0,54.0,1715,0.0,0,0,0.0,0
33,8,1.0,7.0,1708,0.0,0,0,0.0,0
35,94,22.0,71.0,980,0.0,0,0,0.5,0
42,73,6.0,62.0,1730,0.0,0,0,0.0,0
44,30,7.0,18.0,1735,0.0,0,0,0.0,0
47,5,1.0,3.0,639,0.0,0,0,0.0,0
51,31,4.0,27.0,532,0.0,0,0,1.0,0
57,213,25.0,172.0,210,0.0,0,0,1.0,0
61,25,5.0,20.0,248,0.0,0,0,0.0,0
65,91,4.0,87.0,286,0.0,0,0,0.0,0
69,43,6.0,31.0,1681,0.0,0,0,0.0,1
83,26,1.0,24.0,1731,0.0,0,0,0.0,0
88,2580,32.0,635.0,1245,0.0,0,0,0.0,0
94,99,6.0,90.0,1721,0.0,0,0,0.0,0
105,103,11.0,81.0,259,0.0,0,0,0.0,0
116,16,1.0,11.0,1745,0.0,0,0,0.0,0
130,2,1.0,1.0,1943,0.0,0,0,0.0,0
131,3,1.0,2.0,1757,0.0,0,0,0.0,0
142,46,1.0,43.0,1718,0.0,0,0,0.66667,0
157,88,8.0,73.0,1298,15.0,0,0,0.0,1
169,10,3.0,7.0,1324,0.0,0,0,0.0,0
176,32,6.0,26.0,1644,0.0,0,0,1.0,0
181,11,1.0,6.0,1703,0.0,0,0,0.0,0
190,5,2.0,2.0,1757,0.0,0,0,0.0,0
192,2302,166.0,2076.0,38,0.0,0,6,0.0,0
193,19,1.0,17.0,1722,0.0,0,0,0.0,0
196,76,5.0,64.0,1725,0.0,0,0,0.0,0
197,7,1.0,2.0,1725,0.0,0,0,0.0,0
201,34,4.0,26.0,1725,0.0,0,0,0.0,0
205,90,11.0,75.0,1192,0.0,0,0,1.0,1
226,2,1.0,0.0,1758,0.0,0,0,0.0,0
230,130,8.0,115.0,1726,0.0,0,0,0.0,0
243,54,5.0,49.0,1568,0.0,0,0,0.0,0
245,6,1.0,2.0,1757,0.0,0,0,0.0,0
251,319,20.0,287.0,644,0.0,0,0,1.0,0
256,43,4.0,39.0,1388,0.0,0,1,1.0,0
257,6,2.0,3.0,1864,0.0,0,0,0.0,0
259,17,2.0,11.0,1735,0.0,0,0,0.0,0
264,3,1.0,1.0,1758,0.0,0,0,0.0,0
274,58,7.0,36.0,307,0.0,0,0,0.0,0
284,58,9.0,48.0,1700,0.0,0,0,1.0,0
286,3976,81.0,3836.0,184,0.0,0,2,0.0,0
288,4,1.0,1.0,999,0.0,0,0,0.0,0
297,9,2.0,6.0,1907,0.0,0,0,0.5,0
319,5,1.0,1.0,1758,0.0,0,0,0.0,0
328,18,2.0,10.0,1714,0.0,0,0,1.0,0
329,4,1.0,2.0,1783,0.0,0,0,0.0,0
335,27,3.0,24.0,379,0.0,0,0,0.0,0
336,3,1.0,2.0,999,0.0,0,0,0.0,0
341,4,1.0,3.0,1891,0.0,0,0,0.0,0
343,1537,97.0,1432.0,92,0.0,0,0,0.0,0
367,32,4.0,28.0,1702,0.0,0,0,0.0,0
398,7317,32.0,902.0,563,0.0,0,4,1.0,0
444,11,3.0,8.0,999,0.0,0,0,0.0,0
449,17,3.0,12.0,999,0.0,0,0,0.0,0
789,4,1.0,2.0,999,0.0,0,0,0.0,0
994,5,1.0,2.0,999,0.0,0,0,0.0,0
1735,36,2.0,29.0,1298,9.0,0,0,0.0,1
