login_count,activity_count,resources_viewed,days_inactive,average_grade,assignments_submitted,forum_posts,completion_rate,quiz_attempts_count,dropout
27.0,2265,91.0,1486,0.0,0,0,0.0,0,1
1.0,6,4.0,1722,0.0,0,0,0.0,0,1
7.0,92,84.0,1522,0.0,0,0,0.0,0,1
0.0,10,7.0,999,0.0,0,0,0.0,0,1
3.0,42,34.0,1742,0.0,0,0,0.0,0,1
6.0,61,54.0,1715,0.0,0,0,0.0,0,1
1.0,8,7.0,1708,0.0,0,0,0.0,0,1
22.0,94,71.0,980,0.0,0,0,0.5,0,1
6.0,73,62.0,1730,0.0,0,0,0.0,0,1
7.0,30,18.0,1735,0.0,0,0,0.0,0,1
1.0,5,3.0,639,0.0,0,0,0.0,0,1
4.0,31,27.0,532,0.0,0,0,1.0,0,1
25.0,213,172.0,210,0.0,0,0,1.0,0,1
5.0,25,20.0,248,0.0,0,0,0.0,0,1
4.0,91,87.0,286,0.0,0,0,0.0,0,1
6.0,43,31.0,1681,0.0,0,0,0.0,1,1
1.0,26,24.0,1731,0.0,0,0,0.0,0,1
32.0,2580,635.0,1245,0.0,0,0,0.0,0,1
6.0,99,90.0,1721,0.0,0,0,0.0,0,1
11.0,103,81.0,259,0.0,0,0,0.0,0,1
1.0,16,11.0,1745,0.0,0,0,0.0,0,1
1.0,2,1.0,1943,0.0,0,0,0.0,0,1
1.0,3,2.0,1757,0.0,0,0,0.0,0,1
1.0,46,43.0,1718,0.0,0,0,0.66667,0,1
8.0,88,73.0,1298,15.0,0,0,0.0,1,0
3.0,10,7.0,1324,0.0,0,0,0.0,0,1
6.0,32,26.0,1644,0.0,0,0,1.0,0,1
1.0,11,6.0,1703,0.0,0,0,0.0,0,1
2.0,5,2.0,1757,0.0,0,0,0.0,0,1
166.0,2302,2076.0,38,0.0,0,6,0.0,0,0
1.0,19,17.0,1722,0.0,0,0,0.0,0,1
5.0,76,64.0,1725,0.0,0,0,0.0,0,1
1.0,7,2.0,1725,0.0,0,0,0.0,0,1
4.0,34,26.0,1725,0.0,0,0,0.0,0,1
11.0,90,75.0,1192,0.0,0,0,1.0,1,0
1.0,2,0.0,1758,0.0,0,0,0.0,0,1
8.0,130,115.0,1726,0.0,0,0,0.0,0,1
5.0,54,49.0,1568,0.0,0,0,0.0,0,1
1.0,6,2.0,1757,0.0,0,0,0.0,0,1
20.0,319,287.0,644,0.0,0,0,1.0,0,1
4.0,43,39.0,1388,0.0,0,1,1.0,0,1
2.0,6,3.0,1864,0.0,0,0,0.0,0,1
2.0,17,11.0,1735,0.0,0,0,0.0,0,1
1.0,3,1.0,1758,0.0,0,0,0.0,0,1
7.0,58,36.0,307,0.0,0,0,0.0,0,1
9.0,58,48.0,1700,0.0,0,0,1.0,0,1
81.0,3976,3836.0,184,0.0,0,2,0.0,0,1
1.0,4,1.0,999,0.0,0,0,0.0,0,1
2.0,9,6.0,1907,0.0,0,0,0.5,0,1
1.0,5,1.0,1758,0.0,0,0,0.0,0,1
2.0,18,10.0,1714,0.0,0,0,1.0,0,1
1.0,4,2.0,1783,0.0,0,0,0.0,0,1
3.0,27,24.0,379,0.0,0,0,0.0,0,1
